Include;notes_screening1;Notes;Citationkey;Author;Title;Publication Year;method_automated_measurement;method_visualization;method_automated_generation;method_agent;method_AutoQUEST;method_machine_learning;methodology;Usability dimension;Baseline;Sample Size;Notes;XR Technology;Measurement;dimension_general_usability;dimension_generalUX;dimension_presence;dimension_flow;dimension_interactability;dimension_learnability;dimension_emotions;dimension_usability_smells;dimension_stress;dimension_anxiety;dimension_ease_of_use;dimension_attention;dimension_UI;dimension_behaviour;dimension_comfort;dimension_cognitive_load;dimension_engagement;dimension_area_of_interest;dimension_realism;dimension_sentiment;dimension_physiological_arousal;dimension_physical_effort;measurement_none;measurement_heart_rate;measurement_decision_time;measurement_hand_movement;measurement_head_movement;measurement_facial_expression;measurement_scene_capture;measurement_events;measurement_EEG;measurement_EDA;measurement_EMG;measurement_body_temperature;measurement_speech;measurement_walking_speed;measurement_gaze;measurement_pupil;measurement_body_tracking;measurement_movement;measurement_respiration;measurement_pressure_load;control_measurement;control_dimension
include;Usability Evaluation nachlesen;multimodal ML Model trainiert auf presence;ochsMultimodalBehavioralCues2022;"Ochs, M.; Bousquet, J.; Pergandi, J.-M.; Blache, P.";Multimodal Behavioral Cues Analysis of the Sense of Presence and Social Presence During a Social Interaction With a Virtual Patient;2022;x;;;;;x;multimodal ML Model to correlate verbal und non verbal clues to presence;level of sense of presence, level of sense of social presence;IPQ;36;36, 86 human-agent interactions, HMD, PC, CAVE;VR;Transcript of Verbal Behaviour, non verbal behaviour through rotation of head, the left and right wrists, and the left and right elbows, ;;;x;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;x;;;;x;;;;4;1
include;sentiment;Grundlage zu Multimodal Behavioral Cues Analysis of the Sense of Presence and Social Presence During a Social Interaction With a Virtual Patient, welches mehr Algorithmen benutzt;ochsAutomaticPredictionSense2018;"Ochs, M.; Jain, S.; Pergandi, J.-M.; Blache, P.";Toward an automatic prediction of the sense of presence in virtual reality environment;2018;x;;;;;x;verbal, non verbal behavioural features of communication basically NLP and body morvent;AUTOMATIC PREDICTION OF THE SENSE OF PRESENCE BASED ON MULTIMODAL CUES;;38;VR (CAVE und full immersive VR);VR;time-series three-dimensional unity coordinates of 5 trackers located on the participant’s head, left and right elbows, and left and right wrists, audio+transcript, video;;;x;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;x;;;;x;;;;4;1
include;eye tracking;Viel AR speziefisch aber teilweise auf VR transferierbar, der VR Teil ist automatisiert ansonsten eher Fokus auf AR konzept;oneyVisualGazeLabeling2023;"Öney, S.; Pathmanathan, N.; Becher, M.; Sedlmair, M.; Weiskopf, D.; Kurzhals, K.";Visual Gaze Labeling for Augmented Reality Studies;2023;x;x;;;;;AOI-based Gaze Analysis;AOI;;10;;AR;Gaze and area of interest;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;1;1
include;multimodal ux NN;multimodal deep nn;pannatteeDeepLearningFramework2025;"Pannattee, Peerawat; Shimada, Shogo; Yem, Vibol; Nishiuchi, Nobuyuki";A deep learning framework for automatic assessment of presence in virtual reality using multimodal behavioral cues;2025;x;;;;;x;DNN multimodal inputs to provide sense of presence, as IPQ prediction;sense of presence;IPQ;22;;VR;facial expression, head movement, hand movement, scene captures;;;x;;;;;;;;;;;;;;;;;;;;;;;x;x;x;x;;;;;;;;;;;;;;4;1
include;eye tracking;;pavanattoWeStillNeed2021;"Pavanatto, Leonardo; North, Chris; Bowman, Doug A.; Badea, Carmen; Stoakley, Richard";Do we still need physical monitors? An evaluation of the usability of AR virtual monitors for productivity work;2021;x;;;;;;Eye Tracking, Head Movement, als Measurement for attention and viewing distance between UI elements;Visual Attention, Viewing distance;Physical PC;18;;AR;Eye tracking for gaze, Head Orientation;;;;;;;;;;;;x;x;;;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;2;2
include;Usability Evaluation nachlesen;;pfeifferEyeSee3D20Modelbased2016;"Pfeiffer, T.; Renner, P.; Pfeiffer-Leßmann, N.";EyeSee3D 2.0: Model-based real-time analysis of mobile eye-tracking in static and dynamic three-dimensional scenes;2016;x;;;;;;EyeSee3D, Situation Modle Based Eye Tracking, Logging, Kinect, Scene Camera per frame, Annotating the gaze video;areas of interest;human annotators;2;2 in 13 Experiments;AR;Eye Tracking, Skeleton Tracking;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;x;;x;;;;2;1
include;agent based;agent based, nur introduction;pradaAgentbasedTestingExtended2020;"Prada, Rui; Prasetya, I. S. W. B.; Kifetew, Fitsum; Dignum, Frank; Vos, Tanja E. J.; Lander, Jason; Donnart, Jean-yves; Kazmierowski, Alexandre; Davidson, Joseph; Fernandes, Pedro M.";Agent-based Testing of Extended Reality Systems;2020;;;;x;;;software agents;general UX, evoked emotions, learnability;;no study;;XR;nur introduction of technique;;x;;;;x;x;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;1;3
include;Usability Evaluation nachlesen;AR no usability, unrealistic object placement detection ML, keine Usability testing nur dataset labeling;rafiPredARTAutomaticOracle2023;"Rafi, Tahmid; Zhang, Xueling; Wang, Xiaoyin";PredART: Towards Automatic Oracle Prediction of Object Placements in Augmented Reality Testing;2023;;;x;;;x;ML Model to detect misplaced object from an image, using unity MARS aka a VR environment;unrealistic object placements in AR apps;human annotators;no study;AR Simulator Unity MARS, also eigentlich virtual environment wie das andere paper kritisiert;AR;automatisiertes erstellen von Trainingsdaten, keine Messungen;;;;;;;;;;;;;;;;;;;x;;;;x;;;;;;;;;;;;;;;;;;;;1;1
include;eye tracking;;ramosEnhancingAutomotiveUsability2025;"Ramos, Catharina; Miguez, Rafael; Leão, Felipe; Rodrigues, Daniela; Demetrescu, Matheus; Sandrin, Fábio; Alfonso, Márcio; Leite, Rodrigo; Winkler, Ingrid";Enhancing Automotive Usability Testing and User Experience: Insights from Virtual Reality and Eye Tracking Integration;2025;x;x;;;;;Gazetracking and analysis using Cognitive3D, eye tracking data heatmap;attention focus, distractions, non-intuitive UI, Presence, Comfort;;2;;VR;gaze focal point;;;x;;;;;;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;1;4
include;Usability Evaluation nachlesen;heart rate and scr;salageanUtilitarianVirtualSelf2024;"Salagean, Anca; Wu, Michelle; Fletcher, George; Cosker, Darren; Fraser, Danaë Stanton";The Utilitarian Virtual Self – Using Embodied Personalized Avatars to Investigate Moral Decision-Making in Semi-Autonomous Vehicle Dilemmas;2024;x;;;;;;short time frame after decision as arousal frame for ophysiological measures;physiological arousal;;17;;VR;SCRs and heart rate, face/eyetracking for motion capture;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;x;;;;;;;;;;;2;1
